region,bone,status,mesh_ids,model_names,layer,mesh_count,provenance,note
Cranial bones,Frontal bone,represented,FJ3200,Frontal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Cranial bones,Occipital bone,represented,FJ3309,Occipital bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Cranial bones,Sphenoid bone,represented,FJ3394,Sphenoid bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Cranial bones,Ethmoid,represented,FJ3199,Ethmoid,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Cranial bones,Left parietal bone,represented,FJ3274,Left parietal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Cranial bones,Left temporal bone,represented,FJ3281,Left temporal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Cranial bones,Right parietal bone,represented,FJ3380,Right parietal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Cranial bones,Right temporal bone,represented,FJ3386,Right temporal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Mandible,represented,FJ3289,Mandible,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Vomer,represented,FJ3395,Vomer,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Left maxilla,represented,FJ3269,Left maxilla,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Left zygomatic bone,represented,FJ3287,Left zygomatic bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Left nasal bone,represented,FJ3272,Left nasal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Left lacrimal bone,represented,FJ3265,Left lacrimal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Left palatine bone,represented,FJ3273,Left palatine bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Left inferior nasal concha,represented,FJ3263,Left inferior nasal concha,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Middle-ear bones,Left malleus,represented,CUSTOM_left_malleus,Left malleus (schematic),skeletal,1,schematic,Named mesh evidence only; shape and placement unvalidated.
Middle-ear bones,Left incus,represented,CUSTOM_left_incus,Left incus (schematic),skeletal,1,schematic,Named mesh evidence only; shape and placement unvalidated.
Middle-ear bones,Left stapes,represented,CUSTOM_left_stapes,Left stapes (schematic),skeletal,1,schematic,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Right maxilla,represented,FJ3375,Right maxilla,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Right zygomatic bone,represented,FJ3392,Right zygomatic bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Right nasal bone,represented,FJ3378,Right nasal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Right lacrimal bone,represented,FJ3371,Right lacrimal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Right palatine bone,represented,FJ3379,Right palatine bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Facial bones,Right inferior nasal concha,represented,FJ3369,Right inferior nasal concha,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Middle-ear bones,Right malleus,represented,CUSTOM_right_malleus,Right malleus (schematic),skeletal,1,schematic,Named mesh evidence only; shape and placement unvalidated.
Middle-ear bones,Right incus,represented,CUSTOM_right_incus,Right incus (schematic),skeletal,1,schematic,Named mesh evidence only; shape and placement unvalidated.
Middle-ear bones,Right stapes,represented,CUSTOM_right_stapes,Right stapes (schematic),skeletal,1,schematic,Named mesh evidence only; shape and placement unvalidated.
Hyoid,Hyoid bone,represented,FJ3201,Hyoid bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,First cervical vertebra,represented,FJ3176,Atlas,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Second cervical vertebra,represented,FJ3177,Axis,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Third cervical vertebra,represented,FJ3161,Third cervical vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Fourth cervical vertebra,represented,FJ3164,Fourth cervical vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Fifth cervical vertebra,represented,FJ3167,Fifth cervical vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Sixth cervical vertebra,represented,FJ3170,Sixth cervical vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Seventh cervical vertebra,represented,FJ3172,Seventh cervical vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,First thoracic vertebra,represented,FJ3158,First thoracic vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Second thoracic vertebra,represented,FJ3160,Second thoracic vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Third thoracic vertebra,represented,FJ3163,Third thoracic vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Fourth thoracic vertebra,represented,FJ3166,Fourth thoracic vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Fifth thoracic vertebra,represented,FJ3169,Fifth thoracic vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Sixth thoracic vertebra,represented,FJ3171,Sixth thoracic vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Vertebral column,Seventh thoracic vertebra,represented,FJ3173,Seventh thoracic vertebra,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
